"date","cum_confirmed","cum_death","confirmed","world_cum_confirmed","world_cum_death","world_confirmed","social_distance","mask","hand_sanitizer","corona_virus"
"2020-01-22",1,0,0,555,17,99,"0.01337","0.48026","1.05913","3.72199"
"2020-01-23",1,0,1,654,18,287,"0.01647","0.66898","1.3608","11.09736"
"2020-01-24",2,0,0,941,26,493,"0.01576","0.68787","1.27703","8.96625"
"2020-01-25",2,0,1,1434,42,684,"0.02273","1.58787","3.15706","7.74046"
"2020-01-26",3,0,1,2118,56,809,"0.03712","3.31664","8.46618","6.30278"
"2020-01-27",4,0,0,2927,82,2651,"0.07444","9.43058","23.08031","8.37687"
"2020-01-28",4,0,0,5578,131,588,"0.29814","24.31349","94.90946","10.01316"
"2020-01-29",4,0,0,6166,133,2068,"0.25847","25.24407","100.0","6.97602"
"2020-01-30",4,0,7,8234,171,1693,"0.17269","27.14675","69.534","6.19062"
"2020-01-31",11,0,1,9927,213,2111,"0.2514","37.58814","73.6385","7.91048"
"2020-02-01",12,0,3,12038,259,4749,"0.15819","25.65266","43.02287","5.29034"
"2020-02-02",15,0,0,16787,362,3100,"5.10828","24.95892","39.24281","5.27645"
"2020-02-03",15,0,1,19887,426,4011,"7.15973","28.43645","49.94449","6.26801"
"2020-02-04",16,0,3,23898,492,3745,"0.3315","22.03433","35.39103","4.95848"
"2020-02-05",19,0,4,27643,564,3159,"0.31227","22.8591","32.38705","4.79868"
"2020-02-06",23,0,1,30802,634,3532,"0.3648","22.81897","30.99073","5.57957"
"2020-02-07",24,0,0,34334,719,2734,"0.30638","21.59988","24.78589","4.524"
"2020-02-08",24,0,1,37068,806,3027,"0.2034","17.53624","13.98354","4.83641"
"2020-02-09",25,0,2,40095,906,2538,"0.14777","13.46971","9.57738","4.31547"
"2020-02-10",27,0,1,42633,1013,2042,"0.20482","14.96486","13.0368","5.89627"
"2020-02-11",28,0,0,44675,1113,1886,"0.17513","11.41921","10.13521","2.71897"
"2020-02-12",28,0,0,46561,1118,13645,"0.13785","8.96691","8.82302","13.04956"
"2020-02-13",28,0,0,60206,1371,6484,"0.09865","7.86987","6.53995","22.86634"
"2020-02-14",28,0,0,66690,1523,2075,"0.11904","5.19509","4.78541","8.1927"
"2020-02-15",28,0,1,68765,1666,2114,"0.08212","3.88818","2.78333","2.85194"
"2020-02-16",29,0,1,70879,1770,1936,"0.07058","3.62279","2.37719","2.68892"
"2020-02-17",30,0,1,72815,1868,1794,"0.114","5.79048","4.4565","3.19701"
"2020-02-18",31,0,0,74609,2008,421,"0.16048","7.91351","6.28689","5.06878"
"2020-02-19",31,0,73,75030,2123,547,"0.31909","21.90171","15.79738","14.18413"
"2020-02-20",104,1,100,75577,2246,629,"0.48436","36.22879","24.54869","32.10574"
"2020-02-21",204,2,229,76206,2250,1761,"0.55133","54.97854","33.71752","47.17254"
"2020-02-22",433,2,169,77967,2457,323,"0.69432","58.17693","37.86614","56.60331"
"2020-02-23",602,6,231,78290,2467,564,"0.69452","64.08942","44.58917","73.07983"
"2020-02-24",833,8,144,78854,2627,853,"0.92661","100.0","61.19504","100.0"
"2020-02-25",977,10,284,79707,2707,963,"0.76994","93.97094","45.30836","89.14758"
"2020-02-26",1261,12,505,80670,2767,1364,"0.83106","76.21305","37.76995","83.14414"
"2020-02-27",1766,13,571,82034,2810,1377,"1.46635","69.63903","33.1714","74.26515"
"2020-02-28",2337,13,813,83411,2867,1895,"3.02835","74.85269","26.22841","61.77316"
"2020-02-29",3150,16,586,85306,2936,2384,"0.48878","62.49035","22.80208","57.40691"
"2020-03-01",3736,17,599,87690,2990,1974,"0.51166","53.1135","19.50677","53.05979"
"2020-03-02",4335,28,851,89664,3079,2577,"0.77085","70.43641","21.28233","67.20361"
"2020-03-03",5186,28,435,92241,3154,2299,"0.95641","63.87292","16.64586","60.06244"
"2020-03-04",5621,35,467,94540,3249,2791,"7.17844","57.45599","14.64171","60.38164"
"2020-03-05",6088,35,505,97331,3342,3943,"0.753","60.13446","12.89407","55.12664"
"2020-03-06",6593,42,448,101274,3454,4038,"0.64144","49.50661","11.55257","50.27277"
"2020-03-07",7041,44,273,105312,3553,3954,"0.46503","32.59508","8.34792","40.50988"
"2020-03-08",7314,50,164,109266,3797,3900,"5.69841","27.81419","6.80025","37.28995"
"2020-03-09",7478,53,35,113166,3981,5024,"14.94824","33.12072","9.4836","43.3109"
"2020-03-10",7513,54,242,118190,4260,7663,"0.59302","27.69738","9.92008","43.54614"
"2020-03-11",7755,60,114,125853,4604,5750,"0.56536","32.45818","8.97196","31.28193"
"2020-03-12",7869,66,110,131603,4909,14405,"3.75858","34.89645","8.74269","28.42649"
"2020-03-13",7979,66,107,146008,5406,11106,"0.47749","31.36099","6.61166","27.81268"
"2020-03-14",8086,72,76,157114,5823,11146,"8.76902","34.77565","4.74197","22.38598"
"2020-03-15",8162,75,74,168260,6464,14659,"5.46378","21.38131","4.14724","32.35928"
"2020-03-16",8236,75,84,182919,7144,15838,"9.80177","26.40408","6.4079","37.64379"
